timestep;x;y;z;w;p;r
272;-120;-140;-31.795311;-176;1;84
276;-120;-140;-32.025208;-176;1;84
280;-120;-140;-32.253773;-176;1;84
284;-120;-140;-32.48103;-176;1;84
288;-120;-140;-32.706978;-176;1;84
292;-119.999992;-140;-32.931644;-176;1;84
296;-120;-140;-33.155037;-176;1;84
300;-120.000008;-140;-33.377167;-176;1;84
304;-120;-140;-33.598049;-176;1;84
308;-119.999992;-140;-33.817703;-176;1;84
312;-120;-140;-34.036137;-176;1;84
316;-120;-140.000015;-34.253361;-176;1;84
320;-120;-140;-34.469391;-176;1;84
324;-120;-140.000015;-34.684246;-176;1;84
328;-120;-140;-34.897923;-176;1;84
332;-120.000008;-140;-35.110443;-176;1;84
336;-120;-140;-35.321819;-176;1;84
340;-120.000008;-140;-35.532066;-176;1;84
344;-120;-140;-35.741188;-176;1;84
348;-120;-140;-35.949196;-176;1;84
352;-120;-140;-36.156105;-176;1;84
356;-120;-140;-36.361931;-176;1;84
360;-120.000008;-140;-36.566681;-176;1;84
364;-120.000008;-140;-36.770363;-176;1;84
368;-120;-140;-36.972992;-176;1;84
372;-120;-140;-37.174572;-176;1;84
376;-120;-140;-37.375118;-176;1;84
380;-120.000008;-140;-37.574646;-176;1;84
384;-120;-140;-37.773155;-176;1;84
388;-120;-140;-37.970661;-176;1;84
392;-120;-140;-38.167175;-176;1;84
396;-120;-140;-38.362705;-176;1;84
400;-119.999992;-140;-38.557255;-176;1;84
404;-120;-140;-38.750847;-176;1;84
408;-119.999992;-140;-38.943481;-176;1;84
412;-119.999992;-140;-39.13517;-176;1;84
416;-120;-140;-39.325924;-176;1;84
420;-120;-140;-39.515747;-176;1;84
424;-120.000008;-140;-39.704655;-176;1;84
428;-120;-140;-39.892647;-176;1;84
432;-120.000008;-140;-40.079742;-176;1;84
436;-120.000008;-140;-40.265942;-176;1;84
440;-119.999992;-140;-40.45126;-176;1;84
444;-120;-140;-40.635693;-176;1;84
448;-120;-140;-40.819263;-176;1;84
452;-120;-140;-41.00198;-176;1;84
456;-119.999992;-140;-41.183838;-176;1;84
460;-120;-140;-41.364853;-176;1;84
464;-120;-140;-41.545029;-176;1;84
468;-120;-140;-41.724384;-176;1;84
472;-120;-140;-41.902912;-176;1;84
476;-120;-140;-42.080635;-176;1;84
480;-120.000008;-140;-42.257542;-176;1;84
484;-120;-140;-42.433659;-176;1;84
488;-120;-140;-42.608974;-176;1;84
492;-120;-140;-42.783508;-176;1;84
496;-120;-140;-42.957268;-176;1;84
500;-119.999992;-140;-43.13026;-176;1;84
504;-120;-140;-43.302486;-176;1;84
508;-120;-140;-43.473961;-176;1;84
512;-120;-140.000015;-43.64468;-176;1;84
516;-120;-140;-43.814659;-176;1;84
520;-120;-140;-43.983902;-176;1;84
524;-120;-140;-44.152416;-176;1;84
528;-119.999992;-140;-44.320202;-176;1;84
532;-120;-140;-44.487274;-176;1;84
536;-120.000008;-140;-44.653641;-176;1;84
540;-120.000008;-140;-44.81929;-176;1;84
544;-119.999992;-140;-44.984253;-176;1;84
548;-120.000008;-140;-45.148514;-176;1;84
552;-120;-140;-45.312092;-176;1;84
556;-120.000008;-140;-45.474991;-176;1;84
560;-120;-140;-45.637211;-176;1;84
564;-120;-140;-45.798763;-176;1;84
568;-120;-140;-45.959656;-176;1;84
572;-120.000008;-140;-46.119888;-176;1;84
576;-120;-140;-46.279884;-176;1;84
580;-120;-140;-46.439888;-176;1;84
584;-120;-140;-46.599892;-176;1;84
588;-120.000008;-140;-46.759888;-176;1;84
592;-120;-140;-46.919888;-176;1;84
596;-120;-140;-47.079891;-176;1;84
600;-120;-140;-47.239883;-176;1;84
604;-120.000008;-140;-47.399891;-176;1;84
608;-120.000008;-140.000015;-47.559891;-176;1;84
612;-120;-140;-47.719883;-176;1;84
616;-120;-140;-47.87989;-176;1;84
620;-120.000008;-140;-48.039883;-176;1;84
624;-120;-140;-48.19989;-176;1;84
628;-120.000008;-140;-48.35989;-176;1;84
632;-120;-140;-48.519886;-176;1;84
636;-120;-139.999985;-48.67989;-176;1;84
640;-120.000008;-140;-48.83989;-176;1;84
644;-119.999992;-140;-48.999886;-176;1;84
648;-119.999992;-140;-49.159889;-176;1;84
652;-120.000008;-140.000015;-49.319889;-176;1;84
656;-120;-140;-49.479885;-176;1;84
660;-120.000008;-140;-49.639889;-176;1;84
664;-119.999992;-140;-49.799889;-176;1;84
668;-120;-140;-49.959885;-176;1;84
672;-120.000008;-140;-50.119884;-176;1;84
676;-120;-140;-50.279884;-176;1;84
680;-119.999992;-140;-50.439884;-176;1;84
684;-119.999992;-140;-50.599888;-176;1;84
688;-120;-140;-50.759888;-176;1;84
692;-119.999992;-139.999985;-50.919884;-176;1;84
696;-119.999992;-140;-51.079887;-176;1;84
700;-119.999992;-140;-51.239883;-176;1;84
704;-120;-140;-51.399887;-176;1;84
708;-120;-140;-51.559891;-176;1;84
712;-119.999992;-140;-51.719883;-176;1;84
716;-119.999992;-140;-51.879887;-176;1;84
720;-120;-140;-52.03989;-176;1;84
724;-120;-140;-52.199883;-176;1;84
728;-120;-140;-52.359886;-176;1;84
732;-120;-140;-52.519886;-176;1;84
736;-120;-139.999985;-52.679882;-176;1;84
740;-120;-140;-52.839886;-176;1;84
744;-120;-140;-52.999893;-176;1;84
748;-120;-140;-53.159889;-176;1;84
752;-120;-140;-53.319885;-176;1;84
756;-120;-140;-53.479889;-176;1;84
760;-120;-140;-53.639889;-176;1;84
764;-119.999992;-140;-53.799885;-176;1;84
768;-120.000008;-140;-53.959892;-176;1;84
772;-120;-140;-54.119888;-176;1;84
776;-120;-140;-54.279884;-176;1;84
780;-119.999992;-140;-54.439884;-176;1;84
784;-119.999992;-140;-54.599888;-176;1;84
788;-120.000008;-140;-54.759892;-176;1;84
792;-120;-140;-54.919884;-176;1;84
796;-120;-140;-55.079887;-176;1;84
800;-120;-140;-55.239887;-176;1;84
804;-120;-140;-55.399883;-176;1;84
808;-120;-140;-55.559887;-176;1;84
812;-120;-140;-55.719891;-176;1;84
816;-119.999992;-140;-55.879883;-176;1;84
820;-120;-140;-56.039886;-176;1;84
824;-120;-140;-56.199886;-176;1;84
